timestamp,open,high,low,close,volume
2021-11-29,334.9400,339.0300,334.7400,336.6300,28563481
2021-11-26,334.3500,337.9300,328.1200,329.6800,24217242
2021-11-24,336.2800,338.1600,333.9110,337.9100,21661307
2021-11-23,337.0500,339.4500,333.5600,337.6800,30427563
2021-11-22,344.6200,349.6700,339.5500,339.8300,31031113
2021-11-19,342.6400,345.1000,342.2000,343.1100,21963403
2021-11-18,338.1800,342.4500,337.1200,341.2700,22463533
2021-11-17,338.9400,342.1900,338.0000,339.1200,19053380
2021-11-16,335.6800,340.6700,335.5100,339.5100,20886832
2021-11-15,337.5400,337.8800,334.0340,336.0700,16723009
2021-11-12,333.9200,337.2300,333.7900,336.7200,23484434
2021-11-11,331.2500,333.7746,330.5100,332.4300,16849844
2021-11-10,334.5700,334.6303,329.9200,330.8000,25500938
2021-11-09,337.1071,338.7200,334.5300,335.9500,19890003
2021-11-08,337.3000,337.6500,334.4400,336.9900,20897001
2021-11-05,338.5100,338.7900,334.4217,336.0600,22570098
2021-11-04,332.8900,336.5400,329.5100,336.4400,23992202
2021-11-03,333.9000,334.9000,330.6500,334.0000,21500082
2021-11-02,330.3100,333.4500,330.0000,333.1300,25719044
2021-11-01,331.3550,331.4900,326.3700,329.3700,26840400
2021-10-29,324.1300,332.0000,323.9000,331.6200,34765982
2021-10-28,324.3250,324.8700,321.3601,324.3500,26297943
2021-10-27,316.0000,326.0973,316.0000,323.1700,52588690
2021-10-26,311.0000,312.3950,308.5967,310.1100,28107349
2021-10-25,309.3600,309.4000,306.4600,308.1300,17554469
2021-10-22,310.4000,311.0900,307.8000,309.1600,17449332
2021-10-21,307.1702,311.0200,306.3600,310.7600,16918100
2021-10-20,309.2100,309.7000,306.1100,307.4100,16537069
2021-10-19,308.3480,309.3000,307.2200,308.2300,17682139
2021-10-18,303.5700,308.2100,302.6900,307.2900,22729297
2021-10-15,302.3400,304.4500,300.5191,304.2100,25384803
2021-10-14,299.2100,303.2700,297.8300,302.7500,27262902
2021-10-13,294.9100,297.2800,293.4900,296.3100,23424025
2021-10-12,295.3400,295.4400,292.3500,292.8800,17974143
2021-10-11,292.9200,297.9700,292.7450,294.2300,19298634
2021-10-08,296.2190,296.6409,293.7600,294.8500,17685700
2021-10-07,295.1750,296.6400,293.9200,294.8500,20430471
2021-10-06,285.7800,293.6300,285.5093,293.1100,28002559
2021-10-05,284.0464,290.3980,284.0464,288.7600,24993024
2021-10-04,287.4000,287.7500,280.2500,283.1100,31350747
2021-10-01,282.1217,289.9800,281.2900,289.1000,30086280
2021-09-30,285.7100,287.8300,281.6200,281.9200,32343635
2021-09-29,285.1000,286.7700,283.0100,284.0000,26353696
2021-09-28,289.7950,290.7800,282.7500,283.5200,43186237
2021-09-27,296.1400,296.4700,292.9449,294.1700,23571742
2021-09-24,298.2300,299.8000,296.9300,299.3500,14998978
2021-09-23,298.8450,300.9000,297.5339,299.5600,18604601
2021-09-22,296.7250,300.2200,294.5100,298.5800,26626342
2021-09-21,295.6900,297.5400,294.0700,294.8000,22364103
2021-09-20,296.3300,298.7200,289.5200,294.3000,38278661
2021-09-17,304.1700,304.5000,299.5300,299.8700,41372457
2021-09-16,303.7600,305.3100,300.7600,305.2200,19550815
2021-09-15,303.2600,305.3200,301.8200,304.8200,28356304
2021-09-14,299.5600,301.3900,298.1000,299.7900,21853433
2021-09-13,297.5500,298.5400,294.0800,296.9900,23652949
2021-09-10,298.4150,299.9200,295.3800,295.7100,19633363
2021-09-09,300.8200,302.1400,297.0000,297.2500,19927000
2021-09-08,299.7800,300.6100,297.4651,300.2100,15046819
2021-09-07,301.0050,301.0900,298.2000,300.1800,17184083
2021-09-03,300.9900,302.6000,300.2600,301.1400,14751610
2021-09-02,302.2000,303.3602,300.1800,301.1500,16290545
2021-09-01,302.8650,305.1900,301.4900,301.8300,18983826
2021-08-31,304.4200,304.5000,301.5000,301.8800,26285338
2021-08-30,301.1150,304.2200,301.0600,303.5900,16348072
2021-08-27,298.9870,300.8700,296.8300,299.7200,22605726
